"team","WIN_1","WIN_2","WIN_3","WIN_4","WIN_5","WIN_6","WIN_7","WIN_8","WIN_9","WIN_10","WIN_11","WIN_12","points_1","points_2","points_3","points_4","points_5","points_6","points_7","points_8","points_9","points_10","points_11","points_12","opp_points_1","opp_points_2","opp_points_3","opp_points_4","opp_points_5","opp_points_6","opp_points_7","opp_points_8","opp_points_9","opp_points_10","opp_points_11","opp_points_12","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","rank_8","rank_9","rank_10","rank_11","rank_12","WIN_1.smooth","WIN_2.smooth","WIN_3.smooth","WIN_4.smooth","WIN_5.smooth","WIN_6.smooth","WIN_7.smooth","WIN_8.smooth","WIN_9.smooth","WIN_10.smooth","WIN_11.smooth","WIN_12.smooth","points_1.smooth","points_2.smooth","points_3.smooth","points_4.smooth","points_5.smooth","points_6.smooth","points_7.smooth","points_8.smooth","points_9.smooth","points_10.smooth","points_11.smooth","points_12.smooth","opp_points_1.smooth","opp_points_2.smooth","opp_points_3.smooth","opp_points_4.smooth","opp_points_5.smooth","opp_points_6.smooth","opp_points_7.smooth","opp_points_8.smooth","opp_points_9.smooth","opp_points_10.smooth","opp_points_11.smooth","opp_points_12.smooth","rank_1.smooth","rank_2.smooth","rank_3.smooth","rank_4.smooth","rank_5.smooth","rank_6.smooth","rank_7.smooth","rank_8.smooth","rank_9.smooth","rank_10.smooth","rank_11.smooth","rank_12.smooth","cluster","Is_Representative"
"LTCH",1,0,0,1,1,1,0,1,1,1,1,0,62,38,33,27,43,34,20,45,42,56,17,24,15,41,39,17,14,31,45,16,17,13,15,58,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0.1,0.3,1,0.9,0.8,0.3,1,1,0.9,0.7,0,54.3,35.9,32.8,30.9,38.9,32.3,27.2,45.5,42.3,45,16.7,16.8,22.6,38.2,32.1,17.8,20.5,32.3,36.4,15.9,16,17.9,22.1,40.6,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"MARY",1,0,1,0,0,0,0,0,0,0,0,1,50,27,35,6,0,28,30,15,24,7,28,46,21,48,17,45,28,49,31,31,31,24,47,41,50,50,50,50,50,50,50,50,50,50,50,50,0.8,0.2,0.7,0,0,0,0,0,0,0.1,0.2,0.7,43.9,26.5,25.7,7,8.6,27.1,26.4,16,21,15.1,28.8,32.2,26,41.5,23.7,42,32.5,43.6,31,30.3,31.2,30.3,41.1,28.7,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"MAS",0,0,0,1,0,0,0,0,0,1,0,1,14,23,27,24,38,10,35,10,13,28,13,31,48,25,62,14,62,15,51,20,17,17,20,26,50,50,50,50,50,50,50,50,50,50,50,50,0,0.1,0.2,0.7,0,0,0,0.1,0.2,0.8,0.2,0.7,17.1,23.9,27.5,25.4,32.1,15,27.8,12.4,16,25.3,15.3,21.7,44.8,31.3,52.4,23.7,51.5,22.7,41.4,19.1,17.3,18.5,19.2,18.2,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"MCST",1,1,1,1,1,1,1,1,0,1,1,1,37,31,35,30,24,31,27,52,38,24,17,55,24,28,21,10,21,24,23,26,39,7,14,16,5,5,4,2,2,4,7,7,6,14,9,6,1,1,1,1,1,1,0.9,0.8,0.3,1,0.9,0.7,35.6,31.7,32.9,28.9,25.7,32.3,33.1,46.4,33.1,25.7,22.9,38.5,24.5,24.8,18.8,13.6,21.8,24,25.2,26.7,30.1,9.3,13,11.2,4.9,4.5,3.4,2.2,2.9,4.9,6.9,7.5,7.9,12.2,7.5,4.2,3,FALSE
"MEM",1,1,1,1,1,1,1,1,0,0,0,1,63,55,44,53,24,37,66,41,20,34,12,63,7,23,41,46,17,24,42,13,45,35,31,0,50,50,50,50,50,50,18,16,15,25,50,50,1,1,1,1,1,1,0.9,0.7,0,0.1,0.2,0.7,59.5,52.6,43.8,45.6,30.8,43.2,56.4,36.1,22,32.5,21,44.1,13.6,28.9,39.6,38,20.9,26.5,36.5,21.6,41.6,30.7,21.7,0,50,50,50,50,46.8,40.2,17.3,16.7,20.5,32.5,45,35,3,FALSE
"MIAF",1,1,1,0,0,1,0,1,1,0,1,1,45,44,36,23,24,30,0,30,27,21,38,29,0,20,33,34,29,20,58,27,21,59,21,24,50,50,50,50,50,50,50,50,50,50,50,50,1,0.9,0.7,0.1,0.2,0.8,0.3,0.9,0.8,0.3,0.9,0.7,43.9,40.3,32.2,23.9,22.8,24,8.7,28.5,26.9,25.2,32.4,20.3,7.3,24,32.8,31.6,30.1,28.3,48.1,29,28.6,47.9,19.5,16.8,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"MIAO",1,0,0,0,0,0,0,0,0,1,0,1,26,0,33,14,14,3,12,13,24,28,28,20,7,58,37,56,20,34,45,35,29,13,37,13,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0,0,0,0,0,0,0.1,0.2,0.8,0.2,0.7,21.5,8,27.3,12.9,11.6,5.8,13.4,16.7,25.2,27.2,23.6,14,20.2,53.6,39.1,46.6,25.3,36.3,41.4,31.6,26.6,17.8,28.5,9.1,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"MICH",0,1,1,1,1,1,0,1,1,1,1,0,17,35,28,31,28,38,23,29,49,48,28,13,24,7,7,0,0,0,27,26,16,41,16,42,50,50,50,50,22,18,12,15,16,15,14,12,0.3,1,1,1,0.9,0.8,0.3,1,1,0.9,0.7,0,21.7,33.2,28.6,31.1,29.5,34.1,26.8,34.9,46.7,40.5,22.2,9.1,18.9,6.3,4.9,0,2.7,8,25.7,25.5,21,36.1,19.6,29.4,50,50,47.2,41.2,20.2,16.5,13,15.2,15.6,14.5,12.2,8.4,3,FALSE
"MIN",0,1,1,1,0,1,0,0,0,0,1,0,17,23,10,27,0,41,25,26,14,35,32,21,23,20,7,24,27,13,48,29,28,40,23,31,50,50,50,50,50,50,50,50,50,50,50,50,0.3,1,0.9,0.8,0.2,0.7,0,0,0.1,0.2,0.7,0,17.5,20.8,12.4,23,10.7,36.3,24.1,24.5,20,33,26.6,14.7,20.8,17.8,12.4,23.5,26.3,21.6,42.2,29.9,29.9,35.7,22.3,21.7,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"MIS",1,1,1,1,0,1,0,1,1,0,1,1,76,73,43,27,10,52,24,23,27,52,38,38,3,21,37,16,38,3,37,3,19,53,17,27,17,17,15,3,3,14,13,24,19,19,25,19,1,1,0.9,0.8,0.2,0.8,0.3,0.9,0.8,0.3,0.9,0.7,72.1,62.4,36.5,26.1,19.8,43.5,24.1,26.7,33.1,47.8,34.2,26.6,10,23.7,32.9,19.1,30.9,9.8,28.4,11.2,25.6,43.2,17.3,18.9,16.8,15.2,11.4,4.1,6.2,14.8,15.8,22.5,19.6,20.2,21.3,13.3,3,FALSE
"MIZ",1,1,1,0,1,0,0,0,0,1,0,0,34,27,9,13,24,3,6,3,13,20,8,3,3,20,6,21,10,21,9,10,31,16,19,28,24,21,22,25,50,50,50,50,50,50,50,50,1,0.9,0.8,0.2,0.7,0,0,0.1,0.2,0.7,0,0,30.1,22,11.3,14.2,18,3.6,6.1,6.7,13.9,15.9,6.2,2.1,6.7,17.3,9.4,18.8,12.1,17.5,11.4,14.8,26.8,17.8,18.9,19.6,23.2,21.6,25.4,32.5,50,50,50,50,50,50,45,35,4,FALSE
"MRSH",1,0,1,1,1,1,1,1,1,0,1,0,41,10,45,36,27,31,33,30,34,24,52,28,31,21,7,29,7,10,17,13,10,27,0,49,50,50,50,50,50,50,50,50,50,50,50,50,0.8,0.3,1,1,1,1,1,0.9,0.8,0.2,0.7,0,35.2,19.6,41.4,33.7,28.4,31.3,32.5,30.2,33.8,30,42,19.6,26.6,19,11.4,22.7,8.6,11.7,15.5,13.8,12.4,23.8,9.8,34.3,50,50,50,50,50,50,50,50,50,50,45,35,1,FALSE
"MSST",1,0,1,1,0,1,1,1,1,0,1,0,34,19,62,17,17,45,45,42,31,6,51,27,16,21,13,9,30,17,20,16,13,31,50,38,50,25,50,50,21,50,50,50,24,20,50,23,0.8,0.3,0.9,0.8,0.3,1,1,0.9,0.8,0.2,0.7,0,33.8,27.4,48.5,19.8,25.4,44.7,43,36.2,28,17.1,41.1,18.9,16.7,18.2,13.9,14,26.4,17.5,18.5,16.9,20.3,35.5,42.6,26.6,45,32.5,47.1,44.2,29.7,50,47.4,41.8,25.8,26.3,39.6,16.1,2,FALSE
"MTEN",1,0,1,0,0,0,1,0,1,1,1,1,70,10,73,25,13,28,42,16,27,24,41,42,14,37,14,27,17,58,34,45,24,17,7,7,50,50,50,50,50,50,50,50,50,50,50,50,0.8,0.2,0.7,0,0.1,0.2,0.8,0.3,1,1,0.9,0.7,58.3,24.1,57.4,22.9,18.9,29.6,35.3,19,27.8,29.2,37.1,29.4,18.6,31.4,16.9,28.1,26.9,51.9,35.2,38,20.9,14,6.3,4.9,50,50,50,50,50,50,50,50,50,50,45,35,1,FALSE
"NAVY",1,1,1,1,0,1,1,1,1,1,0,1,48,45,28,33,24,31,29,45,55,44,31,21,10,21,18,11,41,14,17,20,14,21,52,17,50,50,50,50,50,50,50,50,22,19,16,21,1,1,0.9,0.8,0.3,1,1,1,0.9,0.8,0.2,0.7,45.4,40.4,28.6,31,25.9,32,34.8,46.9,50.4,39.1,25.9,14.7,13,19.4,18.9,17.3,33.2,15.2,17.3,18.9,19.2,26.8,39.8,11.9,50,50,50,50,50,50,47.2,41.3,20.8,18.6,15.4,14.7,3,FALSE
"NCAR",0,1,1,1,1,1,1,1,1,1,1,1,13,53,48,41,38,50,26,26,66,59,30,45,17,14,14,14,31,14,13,19,31,21,27,34,50,50,50,50,50,50,50,50,21,17,12,11,0.3,1,1,1,1,1,1,1,1,1,0.9,0.7,24.5,50.8,45.6,41.3,39.2,42.8,30,37.3,61,51.8,30,31.5,16.1,14,15.7,17.4,25.8,14.3,16,21.6,28.6,23.5,25.7,23.8,50,50,50,50,50,50,47.1,40.9,19.3,15.4,10.6,7.7,3,FALSE
"NCST",1,1,1,1,0,0,1,0,1,0,1,0,49,35,38,63,13,13,35,41,24,17,42,34,21,0,14,13,20,28,17,56,8,34,29,45,50,50,50,50,50,50,50,50,50,50,50,50,1,1,0.9,0.7,0.1,0.2,0.8,0.2,0.8,0.2,0.7,0,45.1,38.4,40.5,48,15.2,20.2,35.1,35.2,24.4,23.7,36.2,23.8,16.1,4.1,14.4,15.9,21.3,28.6,23.9,44.2,15.3,34.1,29.3,31.5,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"NEB",0,1,0,1,0,0,1,0,0,1,1,0,28,48,33,36,13,21,48,28,45,39,31,20,33,9,36,28,14,23,25,30,55,38,14,28,50,50,50,50,50,50,50,50,50,50,50,50,0.2,0.8,0.2,0.7,0.1,0.2,0.7,0.1,0.3,0.9,0.7,0,32.5,43.8,31.6,29.9,18.1,27.1,43.7,32.5,42.4,35.5,25.7,14,28.5,16.3,32.2,24.7,16.9,24.1,29,35.8,47.5,32.2,15.4,19.6,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"NEV",1,0,0,1,0,1,0,1,1,1,0,0,31,20,27,24,17,35,21,30,30,37,27,14,17,44,44,21,23,17,28,20,16,34,31,31,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0.1,0.2,0.8,0.2,0.8,0.3,1,0.9,0.7,0,0,28.4,21.8,25.4,23.7,21,31.7,23.7,30.7,31.1,32.7,21.7,9.8,25.1,41.7,37.3,21,22.3,19.5,25.2,20.6,21.1,33.1,27.9,21.7,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"NIL",1,1,0,0,0,1,1,1,1,1,1,0,38,57,13,14,19,59,45,49,32,41,27,21,30,26,20,17,29,41,12,21,27,30,19,26,50,50,50,50,50,50,50,50,50,50,50,50,0.9,0.7,0,0.1,0.3,1,1,1,1,0.9,0.7,0,39.3,43.9,13.8,19.5,29.6,55.2,44.5,44.8,33.3,36.2,23.1,14.7,28.2,23.9,20.3,21.8,29.7,33.2,15.3,23.1,26.8,27.4,18.5,18.2,50,50,50,50,50,50,50,50,50,50,45,35,1,FALSE
"NMST",0,0,0,0,0,0,0,1,1,1,0,0,13,32,47,29,3,26,7,55,31,37,28,35,61,34,50,38,52,56,52,48,21,34,52,42,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0.1,0.3,1,0.9,0.7,0,0,20.2,34.7,39,23.5,8,25.1,19,48.4,31.9,35,26.6,24.5,54.5,37.6,47.8,42.6,52.8,54.4,48.1,41.2,26.7,38.4,44.8,29.4,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"NMX",1,0,0,1,1,0,1,0,1,1,0,1,66,21,10,38,38,17,28,21,14,31,21,47,0,40,34,28,29,35,27,31,13,24,28,35,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0.1,0.3,0.9,0.8,0.2,0.8,0.3,0.9,0.8,0.2,0.7,51.4,20.5,18.4,35.9,32.8,19.6,25.2,20.6,18.1,30.6,24.1,32.9,11.4,37.6,32.3,28.9,30,33,26.4,26.7,16.7,25.9,26.6,24.5,50,50,50,50,50,50,50,50,50,50,45,35,1,FALSE
"NORW",1,1,1,1,1,0,0,1,1,1,1,1,16,41,19,24,27,0,10,30,23,21,13,24,6,0,10,19,0,38,40,28,21,14,7,14,50,50,23,17,16,13,20,50,50,24,20,17,1,1,1,0.9,0.7,0.1,0.3,1,1,1,0.9,0.7,21.3,34.9,20.8,22.2,19.9,5,15.3,27.7,21.6,19.7,13.9,16.8,5.2,3.9,10.8,17.1,11.6,37.4,35.7,25.2,18.2,12.6,7.7,9.8,47.3,41.3,21.1,16.4,15.8,18.1,29,47.4,41.8,22.5,17.4,11.9,3,FALSE
"NOTD",1,1,1,1,0,1,1,1,1,1,1,0,38,34,30,62,22,41,41,24,42,28,19,36,3,27,22,27,24,24,31,20,30,7,16,38,11,9,8,6,6,15,14,9,8,6,5,4,1,1,0.9,0.8,0.3,1,1,1,1,0.9,0.7,0,36.4,36,35.6,51.9,27.7,39.3,37.7,28,36.9,27,20.5,25.2,9.7,26,23.2,26.1,24.7,25,28.7,20.7,24,11.9,18.8,26.6,10.3,8.5,7.4,6.9,8.6,14.2,12.4,8.5,7.3,5.6,4.3,2.8,3,FALSE
"NTX",0,0,0,0,0,0,0,1,0,0,0,0,13,24,16,14,7,28,13,30,13,0,7,17,31,38,62,49,66,55,30,23,56,24,41,20,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0.1,0.2,0.7,0,0,0,0,15.5,21.4,14.7,14,11.8,25.2,16.4,23.6,9.8,3.1,8.3,11.9,35.5,43.9,59.8,53,60.2,46.8,31.2,29.7,48.1,27,32.7,14,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"OHST",1,1,1,1,1,1,1,1,1,1,0,1,42,38,20,38,34,49,38,49,28,28,14,42,24,0,13,12,27,28,10,7,14,3,17,13,1,1,1,1,1,1,1,1,1,2,2,8,1,1,1,1,1,1,1,1,0.9,0.8,0.2,0.7,39,34.4,25,38.3,37.4,46.8,39.2,42.7,26.6,26.6,18.2,29.4,18.1,3.8,14.2,16.6,25.5,22.3,9.8,8,12.1,6.8,14.5,9.1,1,1,1,1,1,1,1,1.1,1.3,2.6,3,5.6,3,FALSE
"OHU",1,1,1,0,1,1,0,0,0,1,1,1,45,21,35,24,14,34,14,17,24,27,48,26,28,10,14,27,12,3,49,41,62,0,31,21,50,50,50,50,50,50,50,50,50,50,50,50,1,0.9,0.8,0.3,0.9,0.7,0,0.1,0.3,1,0.9,0.7,39.2,24.1,30.7,23,18,28.3,15.6,19.4,27,31.1,38.8,18.2,23,12.5,16.4,21.6,13.9,16,48.7,41.1,46.5,8.3,25.9,14.7,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"OKLA",1,1,1,1,0,1,1,1,1,1,1,1,41,31,52,44,17,55,63,62,52,44,30,58,3,24,38,24,24,0,27,7,16,34,29,23,19,19,16,15,10,19,17,14,14,12,7,9,1,1,0.9,0.8,0.3,1,1,1,1,1,0.9,0.7,40.1,36.5,46.9,39.7,29.2,57.3,61.7,58.2,48.2,42.6,32.6,40.6,10.7,26.8,33.8,21.6,19.5,6.1,21.9,11.5,20.9,31.9,24.9,16.1,18.7,18,15.2,14.4,12.5,18.1,16.1,13.8,12.9,10.7,6.7,6.3,3,FALSE
"OKST",1,1,1,1,1,1,1,1,1,1,0,0,24,32,69,30,36,33,58,70,49,35,35,23,13,8,14,27,34,26,10,53,29,31,45,58,50,50,25,24,20,21,14,12,12,5,4,4,1,1,1,1,1,1,1,1,0.9,0.7,0,0,30.1,39.2,57.9,31.5,37.6,41.7,59.5,62.3,44.8,33.8,29.1,16.1,12.1,11.1,18.6,28.3,30,25.5,20.5,46,31,36.5,43.1,40.6,47.5,42.4,24.3,22.9,19.6,18.7,13.4,11.3,9.8,4.7,3.6,2.8,3,FALSE
"OLDD",1,1,0,0,0,1,0,0,1,1,0,0,38,24,14,0,7,37,12,30,36,31,31,31,34,10,38,49,27,34,41,55,31,21,56,33,50,50,50,50,50,50,50,50,50,50,50,50,0.9,0.7,0,0.1,0.2,0.7,0.1,0.3,0.9,0.7,0,0,32.8,19.6,10.5,5.1,13.5,31.3,18,31.3,34.5,31,27.9,21.7,29.6,19.5,39.1,43.1,29.8,37.5,42.8,46.8,31.5,29.2,45.8,23.1,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"ORE",1,0,1,0,1,0,1,1,1,1,1,1,61,28,61,20,41,38,26,61,44,38,48,52,42,31,28,62,24,45,20,55,28,36,28,42,7,7,12,13,50,50,50,50,50,50,23,18,0.8,0.2,0.8,0.2,0.8,0.3,1,1,1,1,0.9,0.7,54.4,33.8,50.8,26,38.9,37.9,34.8,55.3,43.2,41.4,44,36.4,38.4,33.5,34.4,52.7,27.8,41,27.8,47.7,29.6,35,28,29.4,7.5,8.6,16,24.1,50,50,50,50,47.3,41.4,19.7,12.6,1,FALSE
"ORST",1,0,1,0,0,0,0,0,0,0,0,0,26,7,35,24,7,31,13,12,0,24,7,42,7,35,21,42,44,52,17,27,41,54,52,52,50,50,50,50,50,50,50,50,50,50,50,50,0.8,0.2,0.7,0,0,0,0,0,0,0,0,0,23.1,14.3,30,21.3,12.4,25.5,11.5,10.8,5.5,22.4,13.3,29.4,14,32.9,27.5,43.4,42.9,42.5,21.4,32.5,44.7,53.4,46.8,36.4,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"PIT",1,1,0,1,1,1,1,0,0,1,1,0,45,24,24,17,26,31,23,19,30,31,45,24,37,7,27,13,19,28,20,26,42,13,34,29,50,50,50,50,50,50,25,23,50,50,50,50,0.9,0.8,0.3,1,1,0.9,0.7,0.1,0.3,0.9,0.7,0,38.7,23.3,22.8,20.2,26.7,28.2,22.9,22.4,31.7,33.1,36.3,16.8,30,11.6,23.4,15.7,20.9,26.2,23.4,27.9,35.4,18.8,29.6,20.3,50,50,50,50,47.5,42.3,27.1,31.1,50,50,45,35,2,FALSE
"PNST",0,1,1,1,1,1,0,1,1,0,0,0,10,27,28,37,20,29,10,31,39,21,16,16,27,14,3,21,14,7,38,30,0,23,28,55,50,50,50,50,50,50,50,50,50,50,50,50,0.3,1,1,1,0.9,0.8,0.3,0.9,0.7,0,0,0,15.2,28.2,29,32.8,20.8,25.4,17.1,31.6,33.1,19.5,14.4,11.2,22,12.5,7.7,18.2,15,15.5,32.6,23.3,7.4,27.2,30.6,38.5,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"PUR",0,1,0,0,0,0,0,1,0,0,0,0,31,38,24,28,21,13,7,55,14,14,20,36,41,14,51,35,24,41,24,45,48,21,40,54,50,50,50,50,50,50,50,50,50,50,50,50,0.2,0.7,0,0,0,0.1,0.2,0.7,0,0,0,0,31.7,34.2,24.5,25.1,18,16,17.3,42.7,14.6,17.4,21.2,25.2,36.6,23.5,45.1,33.4,27.4,38,30.6,43.2,41.8,28.1,38.8,37.8,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"RICE",1,0,1,0,0,1,1,0,0,0,0,1,56,28,38,17,10,27,38,17,21,10,24,27,16,42,24,70,49,26,31,42,24,65,34,7,50,50,50,50,50,50,50,50,50,50,50,50,0.8,0.2,0.7,0.1,0.3,0.9,0.7,0,0,0.1,0.2,0.7,48.6,28.9,31,16.6,16.2,28.2,32.1,17.1,19.1,14.5,22.2,18.9,22,41.2,35.7,61.4,42.6,28.6,32.5,40.7,33.2,53,25.2,4.9,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"RUT",1,0,0,1,0,1,0,0,0,0,1,0,63,34,3,27,24,55,7,10,16,14,31,41,13,37,28,14,31,52,49,48,49,31,21,46,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0.1,0.2,0.8,0.2,0.7,0,0,0.1,0.2,0.7,0,51.2,27.1,9.9,29.2,28.5,40.9,8.5,11.6,17.1,20.1,29.9,28.7,19.3,32.9,25.5,21.2,37,51,48.8,46.5,42.6,30.5,23.9,32.2,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"SALA",1,0,1,0,1,0,0,1,1,0,0,0,33,9,34,13,24,31,18,52,32,10,17,27,23,48,27,63,18,49,36,45,25,24,55,34,50,50,50,50,50,50,50,50,50,50,50,50,0.8,0.2,0.8,0.2,0.7,0.1,0.3,0.9,0.7,0,0,0,28.3,14.4,28.8,17,24.8,30.5,26.2,43.8,26.1,13.1,17.3,18.9,28.4,45.3,33.3,52.6,26,46,36.7,38.9,27.8,31.2,45.3,23.8,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"SCAR",1,0,0,1,0,0,1,0,0,0,0,0,17,22,20,31,10,24,19,28,24,14,22,32,13,26,52,14,24,45,10,35,27,24,23,37,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0.1,0.2,0.7,0.1,0.2,0.7,0,0,0,0,0,18.3,22.5,21.2,26.1,13.7,23.4,21.3,25.8,21.8,17.4,21.8,22.4,19.5,30,41.6,19.1,26.8,37,16.7,32.3,26,25.1,23.5,25.9,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"SDST",1,0,0,0,1,1,1,1,1,1,1,1,41,7,27,21,21,28,30,48,41,38,52,31,38,35,34,37,7,14,7,14,17,3,14,14,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0,0.1,0.3,1,1,1,1,1,1,0.9,0.7,32.8,12.4,25.2,21.7,23.3,30.4,34.7,45.6,41.5,40.1,42.6,21.7,37,35,31.9,28.7,8.4,12.6,9.4,13.5,13.9,6.3,12.6,9.8,50,50,50,50,50,50,50,50,50,50,45,35,1,TRUE
"SFL",1,0,0,0,1,1,1,0,1,1,1,1,51,14,17,17,45,28,38,17,22,44,65,44,3,34,35,24,24,20,14,29,17,23,27,3,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0,0.1,0.3,1,0.9,0.8,0.3,1,1,0.9,0.7,40.2,14.9,19.8,23.7,40.9,28.9,32.2,20.7,30.7,48.2,54.3,30.8,12.4,33.2,31.7,23.6,22.2,19.7,17.3,26,19.2,21.8,19.5,2.1,50,50,50,50,50,50,50,50,50,50,45,35,1,FALSE
"SJST",1,0,0,1,0,1,0,1,0,0,1,0,43,16,21,49,21,33,7,31,16,34,42,23,13,37,35,23,35,27,30,21,17,37,23,40,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0.1,0.2,0.8,0.2,0.8,0.2,0.7,0.1,0.2,0.7,0,35.4,20.3,26.6,41.8,22,27.6,12.7,28.3,22.2,34.5,34,16.1,20,35.2,32.6,25.8,32.9,27,26.9,21.8,21.6,34.5,24.1,28,50,50,50,50,50,50,50,50,50,50,45,35,2,TRUE
"SMIS",0,1,1,0,1,0,1,1,1,1,1,1,16,52,56,28,49,10,32,44,34,65,56,58,34,6,50,36,14,31,10,10,13,10,31,24,50,50,50,50,50,50,50,50,50,50,50,50,0.3,0.9,0.8,0.2,0.8,0.3,1,1,1,1,0.9,0.7,27.2,50.4,49.7,30.4,39.5,17.8,34.6,44.1,42.4,62.5,50.8,40.6,30,17.8,43.6,31.1,17,24.7,10.3,10.6,14.2,15.6,26.5,16.8,50,50,50,50,50,50,50,50,50,50,45,35,1,FALSE
"SMU",0,1,0,0,0,0,0,0,0,0,1,0,21,31,37,45,23,28,14,31,40,14,49,0,56,13,56,48,49,49,38,40,60,55,21,63,50,50,50,50,50,50,50,50,50,50,50,50,0.2,0.7,0,0,0,0,0,0,0.1,0.2,0.7,0,24.6,33.6,37.2,38.9,23.1,25.5,20,31.1,35.7,19.6,34.3,0,47.4,25.1,53.7,48.3,47.9,45.9,40.6,45.5,55.1,49,27.3,44.1,50,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"STAN",0,1,1,1,1,1,1,1,1,0,1,1,6,31,41,42,55,56,31,30,42,36,35,38,16,7,31,24,17,35,14,28,10,38,22,36,21,50,50,21,18,15,10,8,9,7,15,13,0.3,1,1,1,1,1,1,0.9,0.8,0.3,0.9,0.7,14.5,34.1,42.6,46,52.8,48.4,31.9,33,40.1,36,32.1,26.6,15.7,13.5,28.2,23.7,20.3,30.1,16.4,25.4,16.8,34.6,22.6,25.2,29.7,47.1,41,19.8,16.6,13.3,9.5,8.1,9.2,9.2,13.1,9.1,3,FALSE
"SYR",1,1,1,0,0,0,0,0,0,0,0,1,47,30,30,24,24,38,20,21,17,27,29,20,0,17,27,34,45,44,23,45,41,37,42,17,50,50,50,50,50,50,50,50,50,50,50,50,1,0.9,0.7,0,0,0,0,0,0,0.1,0.2,0.7,41.9,29.4,28.2,25.4,26.4,32.7,19.9,20.8,20.2,26.7,24.3,14,6.1,20.7,30.2,37.2,42.6,39.9,29.2,43.4,40.3,36,32.8,11.9,50,50,50,50,50,50,50,50,50,50,45,35,4,TRUE
"TCU",1,1,1,1,1,1,1,1,0,1,0,1,23,70,56,55,50,52,45,40,29,23,29,28,17,7,37,52,7,45,21,10,49,17,30,21,2,3,3,4,4,2,3,5,5,13,11,15,1,1,1,1,1,1,0.9,0.8,0.2,0.8,0.2,0.7,35.7,65.7,55.2,53.7,49.9,49.4,42.4,36.1,27.8,24.7,25.9,19.6,17,17.5,37,42.3,16,36.7,21.6,18.5,40.7,20,25.2,14.7,2.3,3.1,3.3,3.8,3.5,2.5,3.6,5.8,7.2,12.8,10.7,10.5,3,FALSE
"TEM",1,1,1,1,1,1,1,0,1,0,1,1,27,34,25,37,49,30,24,20,60,23,31,27,10,26,23,3,10,16,14,24,40,44,12,3,50,50,50,50,50,50,22,21,23,21,50,25,1,1,1,1,1,0.9,0.8,0.2,0.8,0.3,0.9,0.7,28.2,32.5,29.8,38.7,42.7,27.8,26.8,28.3,49.7,25,27.1,18.9,14.5,23.1,17.7,5.7,11.6,16.4,18.6,29.2,38,33.5,9,2.1,50,50,50,50,47.2,41.5,21.9,21.4,25.3,27.2,40,17.5,3,FALSE
"TEN",1,0,1,0,0,1,0,1,1,1,1,1,59,24,55,27,20,38,14,52,27,24,19,53,30,31,10,28,24,31,19,21,24,0,8,28,25,23,50,50,50,50,50,50,50,50,50,50,0.8,0.2,0.7,0.1,0.2,0.8,0.3,1,1,1,0.9,0.7,51.6,30.5,45.9,26.7,23,34.6,22.9,44.2,25.6,25.9,23.9,37.1,28.2,26.5,15,27.5,24.9,27.6,19.9,19.5,17.6,4.4,11.2,19.6,27.1,31.1,50,50,50,50,50,50,50,50,45,35,1,FALSE
