"team","WIN_1","WIN_2","WIN_3","WIN_4","WIN_5","WIN_6","WIN_7","WIN_8","WIN_9","WIN_10","WIN_11","WIN_12","points_1","points_2","points_3","points_4","points_5","points_6","points_7","points_8","points_9","points_10","points_11","points_12","opp_points_1","opp_points_2","opp_points_3","opp_points_4","opp_points_5","opp_points_6","opp_points_7","opp_points_8","opp_points_9","opp_points_10","opp_points_11","opp_points_12","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","rank_8","rank_9","rank_10","rank_11","rank_12","WIN_1.smooth","WIN_2.smooth","WIN_3.smooth","WIN_4.smooth","WIN_5.smooth","WIN_6.smooth","WIN_7.smooth","WIN_8.smooth","WIN_9.smooth","WIN_10.smooth","WIN_11.smooth","WIN_12.smooth","points_1.smooth","points_2.smooth","points_3.smooth","points_4.smooth","points_5.smooth","points_6.smooth","points_7.smooth","points_8.smooth","points_9.smooth","points_10.smooth","points_11.smooth","points_12.smooth","opp_points_1.smooth","opp_points_2.smooth","opp_points_3.smooth","opp_points_4.smooth","opp_points_5.smooth","opp_points_6.smooth","opp_points_7.smooth","opp_points_8.smooth","opp_points_9.smooth","opp_points_10.smooth","opp_points_11.smooth","opp_points_12.smooth","rank_1.smooth","rank_2.smooth","rank_3.smooth","rank_4.smooth","rank_5.smooth","rank_6.smooth","rank_7.smooth","rank_8.smooth","rank_9.smooth","rank_10.smooth","rank_11.smooth","rank_12.smooth","cluster","Is_Representative"
"COLO",0,1,1,1,0,0,0,1,0,0,0,0,20,48,27,48,24,23,31,17,31,10,24,3,28,14,24,0,41,48,38,13,35,42,27,27,50,50,50,50,50,50,50,50,50,50,50,50,0.3,1,0.9,0.7,0,0.1,0.2,0.7,0,0,0,0,26.3,43.8,30.9,40.7,24.5,24,28.2,19.1,26.1,12.1,17.4,2.1,24.8,14.6,20.9,13,42.1,42.5,32.7,20.3,35.6,37.5,24.3,18.9,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"CON",1,1,0,0,0,1,0,0,1,1,1,0,20,22,6,18,13,40,20,13,31,7,20,3,15,17,9,28,30,13,28,37,13,3,17,27,50,50,50,50,50,50,50,50,50,50,50,50,0.9,0.7,0,0.1,0.2,0.7,0.1,0.3,1,0.9,0.7,0,19,18.4,9.1,19.2,19.1,33.3,19.7,16,25.1,9.2,14.6,2.1,14.8,16.5,14.9,26.9,26.4,18.4,28.3,28.8,11.4,8.2,17.3,18.9,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"COST",1,0,0,1,0,0,1,0,1,1,1,1,65,20,24,33,18,10,38,17,26,49,28,34,13,23,27,31,33,41,23,41,7,35,21,31,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0.1,0.2,0.7,0.1,0.2,0.8,0.3,1,1,0.9,0.7,51.9,22.1,25.2,27.7,18.4,16.3,32.6,22,30.8,43.3,26.4,23.8,16.4,24.6,28.4,32.4,33.6,37.4,25,33.6,14,31.8,20.9,21.7,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"DUKE",1,1,0,1,1,1,1,0,0,0,0,1,37,55,10,34,9,44,45,27,31,13,34,27,7,0,19,20,7,3,43,30,66,31,42,21,50,50,50,50,50,50,23,22,50,50,50,50,0.9,0.8,0.3,1,1,0.9,0.7,0,0,0.1,0.2,0.7,37.9,43.9,14.7,30,19.6,42.5,40,26.4,27.7,18.6,29.2,18.9,6.8,5.8,18,15.7,9.8,13.7,42.7,37.3,56.6,32.2,33.6,14.7,50,50,50,50,47.3,41.8,25.5,30.4,50,50,45,35,4,FALSE
"ECAR",1,0,0,1,1,0,1,0,0,0,1,0,28,24,21,35,49,38,30,14,13,17,44,16,20,31,45,28,23,45,17,24,31,22,7,19,50,50,50,50,50,50,50,50,50,50,50,50,0.7,0.1,0.3,0.9,0.8,0.2,0.7,0,0.1,0.2,0.7,0,26.5,24.5,26.6,38.1,44.9,34,25.1,14.1,16.9,22.3,34,11.2,24.7,33.5,39.4,28.7,26.8,37.3,19.8,25.2,26.8,18.7,8.7,13.3,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"EMCH",0,1,0,0,0,0,0,0,0,0,0,0,34,48,17,36,22,21,20,21,28,13,17,28,38,29,28,58,44,47,63,49,58,28,28,35,50,50,50,50,50,50,50,50,50,50,50,50,0.2,0.7,0,0,0,0,0,0,0,0,0,0,35.1,40.6,21.3,31.7,21.6,20.8,21,21.6,23.9,15.3,17.5,19.6,35.2,31.7,35.6,54.1,46.5,50.4,59.7,48.7,49,28.7,26.6,24.5,50,50,50,50,50,50,50,50,50,50,45,35,5,TRUE
"FATL",0,0,0,1,0,0,0,1,0,0,0,1,44,20,15,17,26,17,17,31,19,17,14,33,47,44,33,7,27,33,27,17,35,24,20,31,50,50,50,50,50,50,50,50,50,50,50,50,0,0.1,0.2,0.7,0,0.1,0.2,0.7,0,0.1,0.2,0.7,36.3,18.7,16.5,18.8,23.3,18.4,20,27.2,18.1,18,16.4,23.1,45,38.1,27.2,13.6,28.2,30.2,25.8,21.3,31.3,23.9,20.2,21.7,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"FINT",1,0,1,0,0,1,0,1,0,1,0,0,15,22,39,17,14,52,34,41,17,48,0,7,14,36,14,27,24,12,42,12,31,31,52,63,50,50,50,50,50,50,50,50,50,50,50,50,0.8,0.2,0.7,0.1,0.2,0.8,0.2,0.8,0.2,0.7,0,0,18.8,24.9,32.1,19.9,23.6,47.3,33.7,36.9,21.5,34.3,1.4,4.9,18.4,30.7,17.6,24.9,23.4,18,34.9,17.7,33.1,38.4,49,44.1,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"FLA",1,1,1,1,1,1,0,1,1,1,1,0,61,31,14,28,38,21,28,27,9,24,20,2,13,24,9,27,10,3,35,3,7,14,14,27,50,50,50,50,25,11,8,11,11,11,8,10,1,1,1,1,0.9,0.8,0.3,1,1,0.9,0.7,0,50.3,27.3,19.2,29.3,33.6,23,25.9,23.1,13.1,21,14.4,1.4,14.8,21.3,12.7,21.2,11.1,9.4,25.8,4.9,9.1,15.3,15.2,18.9,50,50,47.5,41.1,20.5,10.4,8.9,11,10.7,10.3,7.6,7,3,FALSE
"FLST",1,1,1,1,1,1,0,1,0,1,1,1,59,34,14,24,29,41,16,45,13,34,52,27,16,14,0,16,24,21,22,21,23,17,13,2,10,11,9,11,12,11,9,17,17,19,19,14,1,1,1,1,0.9,0.8,0.2,0.8,0.3,1,0.9,0.7,49.5,29,17.5,26.7,30.1,36.4,21.5,37.5,21.1,36.9,41.8,18.9,14,11.4,5.6,18.1,23.2,21.2,21.9,21,20.8,14.7,9.5,1.4,10.1,10.6,9.7,11.2,11.5,11.2,11.4,17.2,17.6,18.5,16.1,9.8,3,FALSE
