NFO,,,,RBO,
,Overall,,,,Overall
ANNL_PREM_AFTR,3973.549559,,,ANNL_PREM_AFTR,0.012447906
ANNL_PREM_BFOR,3716.944035,,,ANNL_PREM_BFOR,0.01370152
CLAIM_COUNT_CLOSED_DYNAMIC,31.82525783,,,BENE_TRM_AFTR,0.054150731
CLAIM_COUNT_DYNAMIC,45.89702791,,,BENE_TRM_BFOR,0.390483307
CNT_FPO_PREV1,772.7677686,,,BENEFIT_POOL_ASSET_RATIO,0.039496179
CNT_POL,92.47895375,,,BIO_AFTER_NO_BIO,0.014755149
DECISION_STAGE,1535.366749,,,BIO_BEFORE_5_COMPOUND,0.208185968
DERIVED_MARITAL_STATUS,288.5497213,,,BIO_BEFORE_5_SIMPLE,0.231240763
FREQ_AFTR_M,1044.30074,,,BIO_BEFORE_NO_BIO,0.483546071
FREQ_AFTR_Y,244.9072322,,,CNT_RBO_PREV1,0.777992674
FREQ_BFOR_M,426.498161,,,DECISION_STAGE,0.778643583
FREQ_BFOR_Y,201.5049748,,,IFA_GROUP_STATE_PROD_FA,0.017075414
IFA_GROUP_STATE_PROD_FA,93.82142508,,,IFA_GROUP_STATE_PROD_FAWP,0.794463814
IFA_GROUP_STATE_PROD_FAWP,39.60677068,,,ORIG_DBA_AFTR,0.017229962
IFA_GROUP_STATE_PROD_OTFA,39.60677068,,,RATE_INCR,0.077129978
NUM_DECISIONS,4373.112313,,,RATE_INCR_MA,0.076433518
ORIG_DBA_AFTR,963.5962769,,,RATE_INCR_PRE,1.213506717
POLICY_AGE_2,424.5048856,,,RESPONSE_PRE,0.773042492
PREM_PAID_TOT_2,3187.926597,,,STATE_TX,0.005017652
PRODUCT_PLCY_LIVES,92.47895375,,,TOTL_COMMUNICATED_INCR_RATE,0.006079373
RATE_INCR,543.6503251,,,ISSUE_AGE,0
RATE_INCR_AFFORD,1794.434323,,,CNT_POL,0
RATE_INCR_MA,469.53624,,,MISSING_CREDIT_IND,0
RATE_INCR_PRE,185.5701656,,,MISSING_ZAGG_IND,0
SHARED_POLICY,45.62366719,,,AACD,0
TOTL_COMMUNICATED_INCR_RATE,38.27151752,,,AACN,0
