,var,rel.inf,,,
SEV_CARDIO_RAWSCR,SEV_CARDIO_RAWSCR,0.009532951,,,
ZAGG_PTRIAL,ZAGG_PTRIAL,0.009368346,,,
ZAGG_AGFOOT,ZAGG_AGFOOT,0.009341816,,,
ZAGG_PALLERG,ZAGG_PALLERG,0.00930893,,,
BAL_NONMTGCREDIT_NEW,BAL_NONMTGCREDIT_NEW,0.009308738,,,
ZAGG_PGASTRIT,ZAGG_PGASTRIT,0.00929582,,,
C210POO,C210POO,0.009240026,,,
ZAGG_C210WHT,ZAGG_C210WHT,0.009223873,,,
ZAGG_IRHMGRDN,ZAGG_IRHMGRDN,0.009216067,,,
ZAGG_IONURSE,ZAGG_IONURSE,0.009058163,,,
ZAGG_NETW30_0312,ZAGG_NETW30_0312,0.009036647,,,
ZAGG_AACN,ZAGG_AACN,0.008933353,,,
BAL_HELOAN_SEVEREDEROG,BAL_HELOAN_SEVEREDEROG,0.008742207,,,
ZAGG_TUOC_D,ZAGG_TUOC_D,0.008725282,,,
ZAGG_IDOT,ZAGG_IDOT,0.008608502,,,
ZAGG_BPAMEXY,ZAGG_BPAMEXY,0.008541031,,,
MEDSUP,MEDSUP,0.00853178,,,
ZAGG_BPVISA,ZAGG_BPVISA,0.008451458,,,
ZAGG_RFURNITR,ZAGG_RFURNITR,0.008411406,,,
BAL_TOTALALLCREDIT_NEW,BAL_TOTALALLCREDIT_NEW,0.008368417,,,
PDPE,PDPE,0.008363992,,,
ZAGG_ATV,ZAGG_ATV,0.008349074,,,
BAL_HOMEEQUITYLOANS,BAL_HOMEEQUITYLOANS,0.008296664,,,
HH_HELOAN_SEVEREDEROG,HH_HELOAN_SEVEREDEROG,0.008214457,,,
NUM_MTGCREDIT_NEW,NUM_MTGCREDIT_NEW,0.008200717,,,
ZAGG_RANOGEN,ZAGG_RANOGEN,0.008199195,,,
ZAGG_ACNC,ZAGG_ACNC,0.008133231,,,
HH_RETAILCREDIT,HH_RETAILCREDIT,0.008052764,,,
ZAGG_OPHOTO,ZAGG_OPHOTO,0.008026812,,,
TUOCS_A,TUOCS_A,0.007941163,,,
ZAGG_ICST,ZAGG_ICST,0.007934009,,,
BINARY_CERV_TRANS,BINARY_CERV_TRANS,0.007896113,,,
ZAGG_SPENDPAT_14,ZAGG_SPENDPAT_14,0.007742873,,,
MINMOB_BANKCARDCREDIT,MINMOB_BANKCARDCREDIT,0.007718036,,,
ZAGG_INOT,ZAGG_INOT,0.007670019,,,
ZAGG_PPROSTAT,ZAGG_PPROSTAT,0.007666268,,,
AACD,AACD,0.007659043,,,
SEV_HERNIA_RAWSCR,SEV_HERNIA_RAWSCR,0.007622916,,,
ZAGG_IPAE,ZAGG_IPAE,0.007583426,,,
IOR_2,IOR_2,0.007539363,,,
C210PDV,C210PDV,0.007518096,,,
ZAGG_IHWO,ZAGG_IHWO,0.007475425,,,
CE,CE,0.007450734,,,
ZAGG_PREMARN,ZAGG_PREMARN,0.007450667,,,
ZAGG_NETW30_0000,ZAGG_NETW30_0000,0.007431168,,,
IOELEOT,IOELEOT,0.007426097,,,
BAL_NONMTGCREDIT,BAL_NONMTGCREDIT,0.007420047,,,
APT_T,APT_T,0.00739524,,,
ZAGG_C210MAH,ZAGG_C210MAH,0.007388216,,,
ZAGG_POSTEOA,ZAGG_POSTEOA,0.007343592,,,
HIGHCRD_CONSUMERFINANCE_NEW,HIGHCRD_CONSUMERFINANCE_NEW,0.007338796,,,
HOMO,HOMO,0.007298516,,,
VOTE,VOTE,0.007219318,,,
ZAGG_ESTINC30_112,ZAGG_ESTINC30_112,0.007144521,,,
ZAGG_ZINCDEC_5,ZAGG_ZINCDEC_5,0.007077416,,,
ZAGG_OHSWARE,ZAGG_OHSWARE,0.007055511,,,
ZAGG_PBRSTCAN,ZAGG_PBRSTCAN,0.007043971,,,
BINARY_DRUG_TRANS,BINARY_DRUG_TRANS,0.00700476,,,
ZAGG_CA11_Y,ZAGG_CA11_Y,0.007004579,,,
BINARY_CERV_RAWSCR,BINARY_CERV_RAWSCR,0.006991462,,,
ZAGG_PARTRSCS,ZAGG_PARTRSCS,0.006986782,,,
ZAGG_IDAN,ZAGG_IDAN,0.006920667,,,
ZAGG_IRSF,ZAGG_IRSF,0.006858466,,,
HIGHCRD_RETAILCREDIT_NEW,HIGHCRD_RETAILCREDIT_NEW,0.006772518,,,
BINARY_NM_RAWSCR,BINARY_NM_RAWSCR,0.006748781,,,
BINARY_RESP_RAWSCR,BINARY_RESP_RAWSCR,0.00670182,,,
ZAGG_HOMSTAT_T,ZAGG_HOMSTAT_T,0.006692085,,,
BINARY_BP_TRANS,BINARY_BP_TRANS,0.006649069,,,
PRCNT_CURRENTADDRESS,PRCNT_CURRENTADDRESS,0.006645997,,,
ZAGG_ISSNWBRD,ZAGG_ISSNWBRD,0.006573395,,,
ZAGG_PSKINMED,ZAGG_PSKINMED,0.006557217,,,
SEV_DIAB_RAWSCR,SEV_DIAB_RAWSCR,0.006537358,,,
ILOR,ILOR,0.006495416,,,
SEV_NM_RAWSCR,SEV_NM_RAWSCR,0.006408243,,,
BAL_AGENCYFIRSTMTG,BAL_AGENCYFIRSTMTG,0.006405496,,,
ZAGG_NETW30_0625,ZAGG_NETW30_0625,0.006379538,,,
HH_NONMTGCREDIT_NEW,HH_NONMTGCREDIT_NEW,0.006318928,,,
ZAGG_IMCH,ZAGG_IMCH,0.006207698,,,
ZAGG_FAM18__N1819_,ZAGG_FAM18__N1819_,0.006139782,,,
ZAGG_RLINENS,ZAGG_RLINENS,0.006136916,,,
ZAGG_ILOR_5,ZAGG_ILOR_5,0.006113512,,,
HH_AUTOFINANCE,HH_AUTOFINANCE,0.006095375,,,
